Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00001233:22G:eif-3.K, T16G1.11:CSR	eif-3.K, T16G1.11	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00001335:22G:F35A5.8:WAGO	F35A5.8	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00001394:22G:fat-2, W02A2.1:WAGO	fat-2, W02A2.1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00001394:22G:fat-2, W02A2.1:WAGO	fat-2, W02A2.1	1	16	5	0	C1	1	0	Control
22G	Gene:WBGene00001430:22G:C50F2.6, fkb-5:WAGO	C50F2.6, fkb-5	2	12	3	1	C1	1	0	Control
22G	Gene:WBGene00001430:22G:C50F2.6, fkb-5:WAGO	C50F2.6, fkb-5	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00001470:22G:baz-2, ZK783.4:CSR	baz-2, ZK783.4	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00001484:22G:fox-1, T07D1.4:CSR	fox-1, T07D1.4	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00001520:22G:gas-1, K09A9.5:WAGO	gas-1, K09A9.5	2	6	3	1	C1	1	0	Control
22G	Gene:WBGene00001520:22G:gas-1, K09A9.5:WAGO	gas-1, K09A9.5	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00001520:22G:gas-1, K09A9.5:WAGO	gas-1, K09A9.5	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00001615:22G:C06A8.9, glr-4:WAGO	C06A8.9, glr-4	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00001638:22G:B0416.6, gly-13:WAGO	B0416.6, gly-13	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00001638:22G:B0416.6, gly-13:WAGO	B0416.6, gly-13	2	12	7	1	C1	1	0	Control
22G	Gene:WBGene00001639:22G:gly-14, M01F1.1:WAGO	gly-14, M01F1.1	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00001666:22G:gpa-4, T07A9.7:WAGO	gpa-4, T07A9.7	2	4	15	1	C1	1	0	Control
22G	Gene:WBGene00001682:22G:F08B6.2, gpc-2:CSR	F08B6.2, gpc-2	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00001708:22G:F19C6.1, grk-1:CSR	F19C6.1, grk-1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00001950:22G:hlh-3, T24B8.6:CSR	hlh-3, T24B8.6	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00001950:22G:hlh-3, T24B8.6:CSR	hlh-3, T24B8.6	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00001950:22G:hlh-3, T24B8.6:CSR	hlh-3, T24B8.6	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00001950:22G:hlh-3, T24B8.6:CSR	hlh-3, T24B8.6	2	14	1	1	C1	1	0	Control
22G	Gene:WBGene00001975:22G:F45E4.9, hmg-5:CSR	F45E4.9, hmg-5	2	6	3	1	C1	0	1	Control
22G	Gene:WBGene00001975:22G:F45E4.9, hmg-5:CSR	F45E4.9, hmg-5	1	18	3	0	C1	0	1	Control
22G	Gene:WBGene00002048:22G:B0244.2, ida-1:WAGO	B0244.2, ida-1	2	4	9	1	C1	1	0	Control
22G	Gene:WBGene00002048:22G:B0244.2, ida-1:WAGO	B0244.2, ida-1	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00002177:22G:F35C8.3, jkk-1:WAGO	F35C8.3, jkk-1	2	6	3	1	C1	0	1	Control
