V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
13,47209836	24,13685226	24,08093192	28,05935442	43,69296629	30,77326084	47,73511928	16,71842386	15,77973193	190,866209	7,265823604	20,31387066	24,18708718	43,40916956	16,78076628	34,81451663	57,24531145	149,6294725	220,2474513	4,614667213
10,90598439	19,30948181	19,01126204	30,06359402	108,4232867	24,04161003	56,41423187	9,195133124	11,13863431	130,7302801	9,990507455	13,72558829	25,02112467	33,76268743	5,993130816	34,81451663	83,00570161	94,17855032	193,8177571	6,460534098
25,66113973	48,27370452	35,48768915	55,11658903	32,36516022	80,7798097	73,77245707	44,30382323	38,98522007	146,4179138	15,43987516	41,72578839	52,5443618	52,25177817	20,37664477	77,87457666	114,4906229	89,77768348	197,2061795	23,07333606
2,566113973	61,54897326	30,41801927	50,10599003	199,0457353	56,73819967	60,75378817	23,40579341	20,42082956	311,1380668	8,174051554	36,23555308	43,36994942	46,6246636	14,38351396	25,65280172	100,179295	397,8383621	92,84277177	12,9210682
22,45349727	36,20527839	35,48768915	33,06995342	218,4648315	64,43151488	104,1493512	28,42132056	38,05700055	167,3347586	28,15506646	23,60801185	42,53591193	45,82079009	49,14367269	31,14983067	97,31702947	132,0260051	55,57012617	25,84213639
46,83158001	127,925317	68,44054335	132,2798137	327,6972472	144,2496602	186,6009208	45,97566562	103,9605869	535,9941486	38,14557392	74,11817675	105,0887236	95,66094773	81,50657909	163,0785252	483,7228818	710,2999075	126,726995	40,60907147
41,69935207	77,23792723	20,27867951	72,15262564	169,9170911	72,12483009	173,5822519	24,2417146	43,6263177	243,1583211	25,43038261	30,19629423	59,21666171	44,21304307	44,34916804	35,73068812	194,6340589	209,4812614	52,85938831	64,60534098
71,85119125	194,3016607	119,1372421	140,2967721	245,9752177	154,8279686	299,4293846	74,39698618	139,2329288	517,6919094	60,85127268	70,27501203	226,0241595	136,6584968	147,4310181	189,6474985	1093,385449	451,5289375	90,80971837	138,4400164
32,71795316	111,0295204	76,04504817	96,20350085	267,0125718	112,5147349	99,80979485	46,81158681	103,9605869	355,586362	37,23734597	29,09824717	83,40374888	63,50600732	77,9107006	68,71286176	226,1189802	324,7839726	40,66106793	52,60720623
33,35948165	82,06529768	31,68543674	106,2246989	267,0125718	102,8980909	203,959146	35,10869011	74,25756204	284,9920107	30,87975032	36,78457661	93,41219875	57,07501923	32,3629064	91,61714902	168,8736688	142,5880855	60,99160189	69,22000819
