C1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
29,63877571	58,19577588	226,2751322	152,9270953	115,903473	43,09028897	58,79087424	83,81816057	33,40598302	71,16451776	
32,75864684	105,3815401	84,52806663	110,7403104	89,9251084	29,3013965	64,35217315	70,67021382	58,46047029	108,5258896	
35,87851797	80,21579918	80,62677124	45,70235032	141,8818377	62,05001611	78,65265607	98,60960067	56,79017114	30,24492005	
177,0526865	215,4816566	293,8975855	131,8337029	439,6338633	166,3285154	211,3293587	185,7147479	127,7778851	183,2486332	
73,3169715	75,49722276	79,32633945	142,3803991	117,9018088	126,6854496	115,1983347	138,0534409	60,13076944	74,72274365	
13,25945229	17,30144688	23,4077723	0	17,98502168	20,6833387	34,95673603	46,01781365	2,505448727	19,57024238	
12,47948451	14,15572927	11,70388615	0	31,97337187	20,6833387	7,150241461	3,286986689	12,52724363	19,57024238	
8,579645601	44,04004661	42,91424921	36,9134368	35,97004336	31,88681383	26,21755202	21,36541348	12,52724363	60,4898401	
295,6077893	536,3448533	916,8044149	500,9680708	1840,467218	724,7786604	953,3655281	1173,454248	440,9589759	1192,005672	
23,39903346	53,47719945	115,7384297	203,9027937	147,8768449	64,63543345	44,49039131	108,4705607	43,42777793	177,9112944	
34,3185824	66,06006991	84,52806663	156,4426607	145,8785092	79,2861317	57,20193169	103,5400807	35,07628218	87,17653426	
38,21842131	56,62291707	62,42072612	161,7160088	71,94008672	34,47223117	41,31250622	44,3743203	35,91143175	81,83919542	
19,49919455	25,16574092	52,01727177	123,0447893	63,94674375	24,13056182	29,39543712	36,15685358	15,86784194	44,4778236	
33,53861462	53,47719945	78,02590765	133,5914856	91,92344414	21,54514448	22,24519566	54,23528037	20,87873939	55,15250126	
180,9525254	154,1401631	375,8247885	279,48745	429,6421846	50,84654098	133,4711739	198,8626947	185,4032058	224,1682309	
44,45816357	61,34149349	130,0431794	101,9513969	111,9068016	44,81390052	59,58534551	75,60069385	50,94412411	65,82717893	
40,55832466	77,07008157	187,2621784	184,567184	101,9151228	18,09792137	31,77885094	65,73973378	23,38418812	67,60629187	
17,1592912	22,0200233	106,6354071	47,46013303	71,94008672	33,61042539	23,8341382	37,80034693	24,21933769	26,68669416	
29,63877571	55,05005826	184,6613148	279,48745	143,8801734	41,36667741	27,80649457	65,73973378	60,96591902	55,15250126	
7,019710037	28,31145853	81,92720304	70,31130819	87,92677265	38,78126007	35,75120731	26,29589351	29,23023515	24,90758122	
11,69951673	34,60289376	67,6224533	89,64691794	89,9251084	14,65069825	15,88942547	36,15685358	14,19754279	33,80314594	
