V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
111,7427776	138,3295787	123,2559141	203,3385508	169,3135738	179,5317783	102,8990421	121,7720048	185,7180369	194,7974099	215,3915087	177,0526865	215,4816566	293,8975855	131,8337029	439,6338633	166,3285154	211,3293587	185,7147479	127,7778851	183,2486332
27,27579611	55,76637466	57,85481681	85,37114727	56,16652209	140,4626867	93,62885812	54,63284541	81,77707797	83,57049373	86,78778739	73,3169715	75,49722276	79,32633945	142,3803991	117,9018088	126,6854496	115,1983347	138,0534409	60,13076944	74,72274365
11,43823708	27,52106801	27,04083829	21,73083749	17,90816646	19,53454583	52,84004864	17,11390338	25,98523973	16,83434406	11,83469828	13,25945229	17,30144688	23,4077723	0	17,98502168	20,6833387	34,95673603	46,01781365	2,505448727	19,57024238
5,279186343	23,17563622	7,546280453	20,17863481	14,6521362	18,60432936	40,78880948	12,50631401	12,99261986	9,619625178	11,04571839	12,47948451	14,15572927	11,70388615	0	31,97337187	20,6833387	7,150241461	3,286986689	12,52724363	19,57024238
9,678508296	39,10888612	25,15426818	21,73083749	23,60621943	25,11584464	29,66458871	28,30376329	22,9281527	17,43557063	21,3024569	8,579645601	44,04004661	42,91424921	36,9134368	35,97004336	31,88681383	26,21755202	21,36541348	12,52724363	60,4898401
418,8154499	563,4576556	546,4764762	686,5909844	481,8924794	448,3643376	344,8508438	389,6704155	1098,258514	391,3984994	447,351595	295,6077893	536,3448533	916,8044149	500,9680708	1840,467218	724,7786604	953,3655281	1173,454248	440,9589759	1192,005672
22,87647415	60,83604508	54,71053329	62,08810711	43,14240103	59,53385396	85,28569255	53,3163913	84,834165	33,66868812	37,8710345	23,39903346	53,47719945	115,7384297	203,9027937	147,8768449	64,63543345	44,49039131	108,4705607	43,42777793	177,9112944
36,9543044	58,66332919	36,47368886	42,42687319	35,00232536	53,95255515	70,45339819	44,75943961	73,37008865	32,46623498	19,72449713	34,3185824	66,06006991	84,52806663	156,4426607	145,8785092	79,2861317	57,20193169	103,5400807	35,07628218	87,17653426
26,39593172	125,2932833	28,9274084	43,97907587	45,58442373	63,25471983	114,9502813	48,05057488	19,10679392	47,49689932	44,97185346	38,21842131	56,62291707	62,42072612	161,7160088	71,94008672	34,47223117	41,31250622	44,3743203	35,91143175	81,83919542
14,95769464	58,66332919	21,38112795	34,6658598	15,46614376	43,720174	105,6800973	19,08858454	19,10679392	24,65028952	29,19225576	19,49919455	25,16574092	52,01727177	123,0447893	63,94674375	24,13056182	29,39543712	36,15685358	15,86784194	44,4778236
20,23688098	69,52690867	38,98911568	41,9094723	25,23423456	54,88277162	132,5636308	32,2531256	48,14912068	22,8466098	33,92613507	33,53861462	53,47719945	78,02590765	133,5914856	91,92344414	21,54514448	22,24519566	54,23528037	20,87873939	55,15250126
164,534641	207,8564874	158,4718895	187,816524	70,81865829	191,6245924	259,5651512	117,1644155	92,47688257	146,699284	85,20982762	180,9525254	154,1401631	375,8247885	279,48745	429,6421846	50,84654098	133,4711739	198,8626947	185,4032058	224,1682309
22,87647415	84,73591994	62,88567044	57,43149908	35,81633293	107,9051103	425,5014443	35,54426087	97,06251311	30,66255525	64,6963506	44,45816357	61,34149349	130,0431794	101,9513969	111,9068016	44,81390052	59,58534551	75,60069385	50,94412411	65,82717893
10,55837269	32,59073844	48,42196624	60,53590443	19,5361816	78,13818332	211,3601946	33,56957971	35,15650081	36,67482099	53,6506322	40,55832466	77,07008157	187,2621784	184,567184	101,9151228	18,09792137	31,77885094	65,73973378	23,38418812	67,60629187
20,23688098	42,00584065	32,07169193	40,35726962	16,28015133	53,02233868	247,5139121	20,40503865	29,80659851	30,06132868	33,92613507	17,1592912	22,0200233	106,6354071	47,46013303	71,94008672	33,61042539	23,8341382	37,80034693	24,21933769	26,68669416
11,43823708	52,1451815	123,2559141	121,0718089	39,88637076	243,7167146	290,1567583	39,49362319	49,67766419	54,11039163	107,3012644	29,63877571	55,05005826	184,6613148	279,48745	143,8801734	41,36667741	27,80649457	65,73973378	60,96591902	55,15250126
4,399321953	38,38464749	39,61797238	50,70528747	15,46614376	384,1794013	183,5496427	30,9366715	37,44931608	24,04906294	36,29307473	7,019710037	28,31145853	81,92720304	70,31130819	87,92677265	38,78126007	35,75120731	26,29589351	29,23023515	24,90758122
2,639593172	18,83020443	25,78312488	42,94427408	8,954083232	459,5269352	135,344686	15,13922222	29,80659851	16,23311749	35,50409484	11,69951673	34,60289376	67,6224533	89,64691794	89,9251084	14,65069825	15,88942547	36,15685358	14,19754279	33,80314594
7,918779515	23,89987485	47,79310954	46,56608033	17,0941589	194,4152418	70,45339819	27,64553623	30,57087027	24,04906294	52,07267243	28,85880793	50,33148184	127,4423158	61,52239466	113,9051373	11,20347513	37,34014985	46,01781365	22,54903854	28,4658071
4,399321953	20,27868169	42,7622559	31,04405355	8,954083232	129,3000891	61,18321422	22,37971981	42,03494662	19,84047693	38,66001438	29,63877571	58,19577588	87,12893021	54,49126385	83,93010117	18,09792137	46,07933386	133,1229609	33,40598302	23,12846827
4,399321953	26,79682938	35,21597545	31,04405355	15,46614376	43,720174	97,33693171	10,53163285	42,79921838	27,05519581	52,86165232	23,39903346	72,35150514	57,21899895	124,802572	45,96172207	14,65069825	30,98437966	57,52226706	12,52724363	33,80314594
13,19796586	19,55444306	35,84483215	49,15308479	20,35018916	67,90580217	81,57761896	38,83539614	40,50640311	16,83434406	47,33879312	17,1592912	34,60289376	114,4379979	40,42900221	83,93010117	37,05764851	23,8341382	47,66130699	16,70299151	51,59427538
12,31810147	45,62703381	44,64882602	34,14845891	42,32839346	38,13887519	92,70183973	38,83539614	54,26329473	24,04906294	22,88041667	30,41874349	51,90434065	87,12893021	144,1381818	63,94674375	26,71597916	38,13462113	24,65240017	26,72478642	48,03604949
3,519457562	31,14226117	36,47368886	31,56145445	13,02412106	62,32450336	68,5993614	15,13922222	16,04970689	43,2883133	47,33879312	21,83909789	36,17575257	57,21899895	175,7782705	15,98668594	13,78889247	23,8341382	44,3743203	12,52724363	8,89556472
7,918779515	18,1059658	17,60798772	18,62643213	8,954083232	32,55757638	80,65060056	17,11390338	22,9281527	29,46010211	14,99061782	15,59935564	185,5973393	80,62677124	581,8260753	115,903473	10,34166935	24,62860948	70,67021382	18,37329066	188,5859721
14,95769464	14,48477264	6,917423749	15,00462588	8,954083232	10,23238115	54,69408544	15,13922222	15,28543514	15,03066434	11,83469828	10,91954895	91,22581083	50,71683998	344,5254101	53,95506504	21,54514448	12,71154038	37,80034693	12,52724363	122,7587931
23,75633854	50,69670424	33,95826204	41,9094723	48,84045399	39,99930813	113,0962445	23,69617391	34,39222905	33,66868812	31,55919541	22,61906567	56,62291707	66,32202151	156,4426607	81,93176543	36,19584273	49,25721895	47,66130699	33,40598302	48,03604949
6,159050734	10,86357948	10,06170727	21,2134366	6,512060532	11,16259762	106,6071157	15,13922222	19,10679392	6,012265736	11,04571839	7,019710037	12,58287046	62,42072612	63,28017737	21,98169316	18,95972715	18,27283929	31,22637355	16,70299151	32,02403299
