WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif.exp	delabel
Y48G1A.2	475,45476	0,84085292	0,268017963	3,137300612	0,001705112	0,566450625	NO	
ZK596.4	6,64747097	1,04612123	0,333594947	3,135902507	0,001713261	0,566450625	NO	
gst-24	206,1197559	0,928698412	0,296583135	3,131325763	0,00174019	0,566450625	NO	
F45D3.3	140,7842919	0,602830452	0,192837456	3,126106647	0,001771373	0,566450625	NO	
B0205.5	15,37133314	1,222511111	0,391081119	3,125978351	0,001772146	0,566450625	NO	
Y53F4B.39	1857,334886	0,268388041	0,085872822	3,125413079	0,001775555	0,566450625	NO	
C23F12.3	11,87927886	1,093617704	0,350395846	3,121092089	0,001801817	0,566450625	NO	
Y47G6A.22	849,8333501	0,509464647	0,163808717	3,110119262	0,001870118	0,566450625	NO	
C29F9.5	1,99785118	3,507383978	1,128109741	3,109080483	0,001876706	0,566450625	NO	
C09B8.4	380,1476418	0,783425951	0,252031993	3,1084385	0,001880788	0,566450625	NO	
folt-1	234,8254616	0,394956188	0,127172233	3,10567944	0,001898424	0,566450625	NO	
ilys-3	2,746327953	2,626776788	0,846517658	3,103038387	0,001915448	0,566450625	NO	
qdpr-1	3161,792789	0,618106374	0,199355226	3,10052756	0,001931762	0,566450625	NO	
F15G9.6	16,88315838	0,912107833	0,294186768	3,100437994	0,001932347	0,566450625	NO	
C04F6.9	81,80509781	0,91597053	0,295857775	3,095982625	0,001961619	0,568848289	NO	
srh-15	2,515592316	-2,247269771	0,728197613	-3,086071321	0,002028202	0,581899689	NO	
C05B5.16	26,74951806	0,858556511	0,279041719	3,076803406	0,002092332	0,593980149	NO	
F53C11.9	255,6417468	0,884407281	0,287776196	3,073246826	0,002117433	0,594844197	NO	
W01B11.6	374,2158456	0,751526595	0,245598706	3,059977834	0,002213534	0,615430838	NO	
dhrs-4	762,5639316	0,411440361	0,134819776	3,051780479	0,002274884	0,622260073	NO	
K01A11.3	244,4910651	-0,255836822	0,08399246	-3,045949877	0,002319465	0,622260073	NO	
fbxa-115	53,7289044	0,510619004	0,167948998	3,040321835	0,002363255	0,622260073	NO	
C30E1.9	5398,681196	-0,912718759	0,300333003	-3,039022515	0,002373471	0,622260073	NO	
F09E5.14	165,4760918	0,707989407	0,233043633	3,03801223	0,002381443	0,622260073	NO	
C54D10.10	273,6485282	0,598069906	0,197119385	3,034049176	0,002412951	0,622260073	NO	
clec-5	306,3794177	0,727144494	0,240664538	3,021402743	0,002516065	0,622260073	NO	
F25H2.15	9,348381569	1,483186733	0,491058551	3,020386734	0,002524521	0,622260073	NO	
ZK1240.9	49,33220773	-0,589748087	0,195269202	-3,020179735	0,002526247	0,622260073	NO	
ard-1	4716,925775	0,617359543	0,204496757	3,018920939	0,002536767	0,622260073	NO	
skr-19	4146,508571	0,500304882	0,165734607	3,018711006	0,002538526	0,622260073	NO	
T04G9.8	5,513515127	-1,272023768	0,421579498	-3,017280905	0,002550533	0,622260073	NO	
Y39G10AL.5	700,1098547	0,415544137	0,13774878	3,016681067	0,002555585	0,622260073	NO	
grd-7	17,777717	-0,72328703	0,239814661	-3,016025069	0,002561121	0,622260073	NO	
T04A11.2	194,2975131	0,476175527	0,158363023	3,006860558	0,002639608	0,629978689	NO	
T04A11.5	194,2975131	0,476175527	0,158363023	3,006860558	0,002639608	0,629978689	NO	
F08G2.5	92,70571257	1,159543648	0,386180564	3,002594529	0,002676888	0,630831928	NO	
pmp-5	1071,531007	0,776840138	0,258850855	3,001110964	0,002689965	0,630831928	NO	
snpc-1.3	26,99295548	0,676249356	0,225951191	2,992900156	0,002763401	0,642466997	NO	
F28F9.2	42,96380875	0,733920537	0,245566762	2,988680274	0,002801852	0,645631553	NO	
srg-48	11,95494324	0,998479571	0,334367195	2,986176832	0,002824892	0,645631553	NO	
pals-26	125,9422514	0,891328928	0,298843499	2,982594337	0,002858165	0,647746767	NO	
C06G4.4	94,37288035	-0,639744086	0,215125201	-2,973822142	0,002941155	0,656060659	NO	
nspb-9	13,7451426	1,353412486	0,455146238	2,973577225	0,002943503	0,656060659	NO	
B0454.5	28,37890191	1,050267785	0,353817094	2,968391872	0,002993624	0,661762684	NO	
try-6	139,5024294	-0,669580069	0,225768583	-2,965780533	0,003019159	0,661981192	NO	
dif-1	4190,523085	0,441869832	0,149116342	2,963255567	0,003044037	0,662053538	NO	
linc-68	80,00523873	1,01825673	0,344691111	2,954113687	0,003135685	0,665601658	NO	
sup-36	8408,242992	0,616191311	0,20933933	2,943504742	0,003245189	0,665601658	NO	
W08F4.7	3,294808695	2,201301604	0,748825817	2,93967109	0,003285608	0,665601658	NO	
cgt-2	117,6425621	-0,459558153	0,156368296	-2,938947125	0,003293293	0,665601658	NO	
F15E6.4	19,48824181	2,072526151	0,705307714	2,93847084	0,003298357	0,665601658	NO	
B0393.7	159,2800125	-0,541543785	0,184510597	-2,935028086	0,003335175	0,665601658	NO	
pes-23	2,567171502	1,878082759	0,640333901	2,932974119	0,003357319	0,665601658	NO	
Y74C10AL.2	2303,356484	0,702980792	0,239766683	2,931936933	0,003368551	0,665601658	NO	
kca-1	182,1575283	0,457729901	0,156135537	2,931618955	0,003372002	0,665601658	NO	
C49C3.9	84,94799514	-0,426077089	0,14559655	-2,926422979	0,003428844	0,665601658	NO	
F21A3.2	63,50211695	0,941080266	0,32160947	2,926158447	0,003431761	0,665601658	NO	
cyn-13	5951,438724	0,385538737	0,132003038	2,920680788	0,003492675	0,665601658	NO	
F16B4.2	76,64231431	0,46447497	0,159188748	2,917762571	0,003525527	0,665601658	NO	
swt-7	1192,38243	0,640589367	0,219565749	2,917528668	0,003528172	0,665601658	NO	
csn-5	2864,068244	0,424929165	0,145768307	2,915099824	0,003555748	0,665601658	NO	
enu-3.1	545,4230427	0,331555078	0,11381486	2,913108865	0,003578498	0,665601658	NO	
Y80D3A.9	249,7768496	0,361400196	0,124094962	2,912287419	0,003587923	0,665601658	NO	
lys-6	13,81353084	0,782347653	0,268890939	2,909535203	0,003619666	0,665601658	NO	
dpy-30	9032,141576	0,614615821	0,211441701	2,906786217	0,003651627	0,665601658	NO	
F25H2.14	845,7588906	0,695050573	0,239129929	2,906581267	0,00365402	0,665601658	NO	
C01H6.11	10,88850015	0,828584324	0,285132677	2,905960595	0,003661276	0,665601658	NO	
tts-1	468,9216561	1,030830134	0,355001965	2,903730784	0,003687451	0,665601658	NO	
F57G12.16	1,873694146	-1,688556501	0,583182613	-2,895416401	0,003786559	0,665601658	NO	
nubp-1	4459,163574	0,46967459	0,16224635	2,894823771	0,003793715	0,665601658	NO	
lbp-2	282,078435	0,582466733	0,201785146	2,886568923	0,003894674	0,665601658	NO	
sod-3	27,31348707	0,758626403	0,26286475	2,885995191	0,003901781	0,665601658	NO	
C46F2.1	103,0111856	-0,426275482	0,147851631	-2,883130056	0,003937448	0,665601658	NO	
Y71H2AM.6	567,7893275	0,406661544	0,141054638	2,883007241	0,003938984	0,665601658	NO	
fah-1	5144,26147	0,372395337	0,129637222	2,87259578	0,004071146	0,665601658	NO	
F41B4.3	253,0844639	0,66682218	0,232273845	2,870844881	0,004093764	0,665601658	NO	
clec-196	6631,97378	0,687977541	0,239714554	2,869986531	0,004104893	0,665601658	NO	
oac-13	27,39089463	-0,853255743	0,297347306	-2,869559357	0,004110442	0,665601658	NO	
Y37B11A.3	619,853845	0,399048396	0,1391978	2,866772281	0,004146813	0,665601658	NO	
C48D1.9	5,47138725	-1,244188684	0,434285133	-2,864911987	0,004171252	0,665601658	NO	
F40H6.1	5,258488473	1,574931869	0,550863608	2,859023262	0,004249476	0,665601658	NO	
T24D3.2	80,93269082	0,752419512	0,263548567	2,85495581	0,004304282	0,665601658	NO	
R05D7.1	1195,722249	0,742362924	0,260186881	2,853191212	0,004328257	0,665601658	NO	
F26D2.13	67,58556638	0,94955802	0,332898319	2,852396556	0,004339093	0,665601658	NO	
R07C12.1	34,90286884	-0,7067144	0,247860303	-2,851260942	0,004354622	0,665601658	NO	
F02D10.6	138,6263882	0,622440159	0,218336977	2,850823388	0,004360618	0,665601658	NO	
K01A6.7	65,48616827	1,075574495	0,377306995	2,850661421	0,00436284	0,665601658	NO	
R07E3.9	107,0075067	0,503443276	0,17683464	2,846972035	0,004413724	0,665601658	NO	
M05D6.3	86,61679047	-0,652263062	0,22989283	-2,837248396	0,00455042	0,665601658	NO	
linc-47	124,9958819	0,793800567	0,279864384	2,836375806	0,004562872	0,665601658	NO	
nhr-98	440,1947504	-0,363015528	0,128206118	-2,831499253	0,004633034	0,665601658	NO	
cav-1	74130,64072	0,519514816	0,183557735	2,830252918	0,004651122	0,665601658	NO	
C46G7.5	34,01646046	0,819887354	0,289857923	2,828583549	0,00467545	0,665601658	NO	
mlp-1	8477,675843	0,760159401	0,268817077	2,827794308	0,004686991	0,665601658	NO	
ZK596.5	9,711155533	0,793439939	0,280695596	2,826691795	0,004703157	0,665601658	NO	
F45D11.11	120,9021557	0,696818791	0,246810518	2,823294552	0,004753288	0,665601658	NO	
F45D11.7	120,9021557	0,696818791	0,246810518	2,823294552	0,004753288	0,665601658	NO	
